 ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO,AUDIENCIA,
11107225,"Sesión informativa sobre De 0 a 99: Comunidad de Aprendizaje Intergeneracional","","0","0","","","2020-02-04 00:00:00.0","2020-02-04 23:59:00.0","17:30","Comunidad Aprendizaje Intergernacional","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce68c20b59af610VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79f59dacff4d7110VgnVCM1000000b205a0aRCRD","Medialab - Prado","1","CALLE","ALAMEDA","15","CENTRO","CORTES","28014","441135","4473558","40.410560776119","-3.6937931079230744","","",
11116986,"Sherezade. Obra de Patxi Araujo para la Fachada de Medialab Prado","","0","1","L,M,X,J,V,S,D","","2020-02-12 00:00:00.0","2020-03-12 23:59:00.0","","letras blancas sobrefondo negro","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edac73cc51bef610VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79f59dacff4d7110VgnVCM1000000b205a0aRCRD","Medialab - Prado","1","CALLE","ALAMEDA","15","CENTRO","CORTES","28014","441135","4473558","40.410560776119","-3.6937931079230744","/contenido/actividades/ProgramacionDestacadaAgendaCultura","",
11103120,"SHINOVA","Pista: 20 eurosPreferente: 18 euros","0","0","","","2020-02-02 00:00:00.0","2020-02-02 23:59:00.0","","2 de febrero de 2018 (Joy Eslava), 2 de febrero de 2019 (La Riviera) y el domingo 2 de febrero de 2020, Shinova volverá a Madrid de la mano del Inverfest, y lo hará presentando 'EL UNIVERSO EN UN PINCEL' en el Teatro Circo Price.Espectáculo en el que música y pintura se fundirán en un solo arte.Contarán con una innovadora escenografía de la que NANO LÁZARO, un artista plástico de obras impactantes, representará el eje del show. NEREA AIZPURÚA, chelista de Licenciado Vidriera acompañará a la banda en una parte del concierto, y las colaboraciones de artistas amigos, se irán sucediendo en el escenario del Teatro Circo Price para conseguir dibujar, entre todos un momento inolvidable. Necesitamos vuestro trazo.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=01a6a92341f8f610VgnVCM1000001d4a900aRCRD","INVERFEST 2020 - Más actividades","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=79d6a92341f8f610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=432257258ae5d010VgnVCM1000000b205a0aRCRD","Teatro Circo Price","1","RONDA","ATOCHA","35","ARGANZUELA","PALOS DE MOGUER","28012","440723","4473051","40.40596423138839","-3.698601359753866","/contenido/actividades/ProgramacionDestacadaAgendaCultura","",
11116105,"Siete para una","","0","0","","","2020-02-28 00:00:00.0","2020-02-28 23:59:00.0","18:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee0bf2c8896ef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b9a1e79ee71c010VgnVCM1000000b205a0aRCRD","Centro Cultural Orcasur (Usera)","1","PLAZA","PUEBLO","2","USERA","ORCASUR","28041","440472","4468702","40.366768324753416","-3.701141063083806","/contenido/actividades/TeatroPerformance","",
11101705,"Sikuris Runataki Katari","","1","0","","","2020-02-29 00:00:00.0","2020-02-29 23:59:00.0","19:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=09326d75e3a8f610VgnVCM2000001f4a900aRCRD","El florido pensil","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c42dcd7a1738610VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=03f7cbf06c81c010VgnVCM1000000b205a0aRCRD","Centro Sociocultural Santa Petronila (Villaverde)","1","CALLE","MARIA MARTINEZ OVIOL","12","VILLAVERDE","LOS ROSALES","28021","441277","4466932","40.35087114162283","-3.691508909255186","/contenido/actividades/DanzaBaile/FolcloreEtnica","",
11108282,"Sinvergüenzas. Laboratorio de investigación y creación teatral","","1","1","X","","2020-01-22 00:00:00.0","2020-02-26 23:59:00.0","17:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=de0877913e2bf610VgnVCM1000001d4a900aRCRD","Sinvergüenzas. Laboratorio de investigación y creación teatral","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9af7281569faf610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b8896d2d8ed0110VgnVCM1000000b205a0aRCRD","Espacio de Igualdad Clara Campoamor","1","CALLE","MARIA MARTINEZ OVIOL","12","VILLAVERDE","LOS ROSALES","28021","441277","4466932","40.35087114162283","-3.691508909255186","/contenido/actividades/TeatroPerformance","/usuario/Mujeres",
11115981,"Somos albañiles","","0","0","","","2020-02-09 00:00:00.0","2020-02-09 23:59:00.0","12:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=62b8b516036ef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD","Espacio Abierto Quinta de los Molinos","1,6","CALLE","JUAN IGNACIO LUCA DE TENA","20","SAN BLAS-CANILLEJAS","EL SALVADOR","28027","446636","4477644","40.44774002225867","-3.6292874542291638","/contenido/actividades/CursosTalleres","/usuario/Niños",
11115964,"Somos albañiles","","0","0","","","2020-02-08 00:00:00.0","2020-02-08 23:59:00.0","17:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b38b516036ef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD","Espacio Abierto Quinta de los Molinos","1,6","CALLE","JUAN IGNACIO LUCA DE TENA","20","SAN BLAS-CANILLEJAS","EL SALVADOR","28027","446636","4477644","40.44774002225867","-3.6292874542291638","/contenido/actividades/CursosTalleres","/usuario/Niños",
11027498,"Sonidos de la tierra","","1","1","X","","2020-01-15 00:00:00.0","2020-03-25 23:59:00.0","18:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ddaa935be76d610VgnVCM1000001d4a900aRCRD","Sonidos de la tierra","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acb5747bb58c5610VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c057ab5c83db510VgnVCM2000001f4a900aRCRD","Centro Sociocultural Clara Campoamor (Retiro)","2","PLAZA","DAOIZ Y VELARDE","2","RETIRO","PACIFICO","28007","442527","4472618","40.402190438836826","-3.6772826298329093","/contenido/actividades/Musica","",
10691211,"Soy El cantor","","1","0","","","2020-02-21 00:00:00.0","2020-02-21 23:59:00.0","19:00","Actuación Musical, a cargo de la Compañía Poesía y Flamenco.        El espectáculo se nutre de la autenticidad y el misterio del famenco y el tango, resultado de la fusio?n y el mestizaje de culturas. De la mano de una gran obra poe?tica como es la de Miguel Oscar Menassa, que se hunde en las rai?ces del hombre y en su saber para proyectarlas en la imagen, en la voz, en el cuerpo, hacie?ndonos alcanzar un nuevo sentido de lo humano. Recomendado para mayores de 18 años","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=71490ae8477f2610VgnVCM1000001d4a900aRCRD","Actividades. Centro Cultural Alfredo Kraus (Fuencarral - El Pardo). Noviembre 2019","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb478ad174414510VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD","Centro Cultural Alfredo Kraus (Fuencarral - El Pardo)","1","GLORIETA","PRADERA DE VAQUERIZAS","9","FUENCARRAL-EL PARDO","MIRASIERRA","28035","438848","4482487","40.49082275610172","-3.7216054330053647","/contenido/actividades/Musica","",
